Date,Close
6/26/2000 16:00:00,16.75
6/27/2000 16:00:00,16.58
6/28/2000 16:00:00,16.52
6/29/2000 16:00:00,16.59
6/30/2000 16:00:00,16.29
7/3/2000 16:00:00,16.44
7/5/2000 16:00:00,15.77
7/6/2000 16:00:00,16.03
7/7/2000 16:00:00,15.87
7/10/2000 16:00:00,15.83
7/11/2000 16:00:00,16.51
7/12/2000 16:00:00,16.39
7/13/2000 16:00:00,16.01
7/14/2000 16:00:00,16.01
7/17/2000 16:00:00,15.91
7/19/2000 16:00:00,16.08
7/21/2000 16:00:00,15.56
7/24/2000 16:00:00,15.2
7/25/2000 16:00:00,15.25
7/26/2000 16:00:00,15.17
7/28/2000 16:00:00,15.81
7/31/2000 16:00:00,15.74
8/1/2000 16:00:00,15.74
8/2/2000 16:00:00,15.74
8/4/2000 16:00:00,16.18
8/7/2000 16:00:00,16.37
8/8/2000 16:00:00,16.44
8/9/2000 16:00:00,16.71
8/10/2000 16:00:00,16.83
8/11/2000 16:00:00,16.73
8/14/2000 16:00:00,17.17
8/15/2000 16:00:00,17.06
8/16/2000 16:00:00,17.4
8/17/2000 16:00:00,17.71
8/18/2000 16:00:00,17.47
8/21/2000 16:00:00,17.53
8/22/2000 16:00:00,17.54
8/23/2000 16:00:00,17.95
8/24/2000 16:00:00,17.51
8/25/2000 16:00:00,17.59
8/28/2000 16:00:00,17.81
8/29/2000 16:00:00,17.71
8/30/2000 16:00:00,17.48
8/31/2000 16:00:00,17.58
9/1/2000 16:00:00,17.75
9/5/2000 16:00:00,17.72
9/6/2000 16:00:00,18.16
9/7/2000 16:00:00,18.14
9/8/2000 16:00:00,17.83
9/11/2000 16:00:00,18.37
9/12/2000 16:00:00,18.36
9/13/2000 16:00:00,18.12
9/14/2000 16:00:00,18.02
9/15/2000 16:00:00,18.58
9/18/2000 16:00:00,18.42
9/19/2000 16:00:00,17.98
9/20/2000 16:00:00,17.71
9/21/2000 16:00:00,17.42
9/22/2000 16:00:00,17.19
9/25/2000 16:00:00,17.11
9/26/2000 16:00:00,17.39
9/27/2000 16:00:00,17.84
9/28/2000 16:00:00,17.69
9/29/2000 16:00:00,17.94
10/2/2000 16:00:00,18.26
10/3/2000 16:00:00,18.06
10/4/2000 16:00:00,17.67
10/5/2000 16:00:00,17.58
10/6/2000 16:00:00,17.53
10/9/2000 16:00:00,17.6
10/10/2000 16:00:00,18.19
10/11/2000 16:00:00,18.42
10/12/2000 16:00:00,18.66
10/13/2000 16:00:00,18.02
10/16/2000 16:00:00,17.76
10/17/2000 16:00:00,17.89
10/18/2000 16:00:00,17.51
10/19/2000 16:00:00,17.68
10/20/2000 16:00:00,17.93
10/23/2000 16:00:00,17.68
10/24/2000 16:00:00,17.26
10/25/2000 16:00:00,16.8
10/26/2000 16:00:00,17.06
10/27/2000 16:00:00,16.61
10/30/2000 16:00:00,16.89
10/31/2000 16:00:00,17.08
11/1/2000 16:00:00,17.58
11/2/2000 16:00:00,17.22
11/3/2000 16:00:00,17.11
11/6/2000 16:00:00,17.17
11/7/2000 16:00:00,17.27
11/8/2000 16:00:00,17.51
11/9/2000 16:00:00,17.29
11/10/2000 16:00:00,17.14
11/13/2000 16:00:00,17.04
11/14/2000 16:00:00,17.27
11/15/2000 16:00:00,17.66
11/16/2000 16:00:00,17.71
11/17/2000 16:00:00,17.51
11/20/2000 16:00:00,17.51
11/21/2000 16:00:00,17.76
11/22/2000 16:00:00,17.55
11/24/2000 16:00:00,17.78
11/27/2000 16:00:00,17.72
11/28/2000 16:00:00,17.66
11/29/2000 16:00:00,16.75
11/30/2000 16:00:00,16.31
12/1/2000 16:00:00,16.56
12/4/2000 16:00:00,16.86
12/5/2000 16:00:00,16.73
12/6/2000 16:00:00,16.52
12/7/2000 16:00:00,16.7
12/8/2000 16:00:00,16.87
12/11/2000 16:00:00,17.05
12/12/2000 16:00:00,17.19
12/13/2000 16:00:00,17.2
12/14/2000 16:00:00,16.73
12/15/2000 16:00:00,16.83
12/18/2000 16:00:00,17.41
12/19/2000 16:00:00,17.69
12/20/2000 16:00:00,17.15
12/21/2000 16:00:00,17.08
12/22/2000 16:00:00,17.42
12/26/2000 16:00:00,18.17
12/27/2000 16:00:00,18.29
12/28/2000 16:00:00,18.48
12/29/2000 16:00:00,18.33
1/2/2001 16:00:00,18.28
1/3/2001 16:00:00,17.69
1/4/2001 16:00:00,17.06
1/5/2001 16:00:00,17.35
1/8/2001 16:00:00,17.42
1/9/2001 16:00:00,17.2
1/10/2001 16:00:00,17.19
1/11/2001 16:00:00,17.47
1/12/2001 16:00:00,17.41
1/16/2001 16:00:00,17.52
1/17/2001 16:00:00,17.07
1/18/2001 16:00:00,16.61
1/19/2001 16:00:00,16.67
1/22/2001 16:00:00,16.82
1/23/2001 16:00:00,17.1
1/24/2001 16:00:00,17.18
1/25/2001 16:00:00,17.66
1/26/2001 16:00:00,17.29
1/29/2001 16:00:00,17.14
1/30/2001 16:00:00,17.31
1/31/2001 16:00:00,17.5
2/1/2001 16:00:00,17.31
2/2/2001 16:00:00,17.52
2/5/2001 16:00:00,17.84
2/6/2001 16:00:00,18.1
2/7/2001 16:00:00,18.21
2/8/2001 16:00:00,18.11
2/9/2001 16:00:00,18.5
2/12/2001 16:00:00,18.3
2/13/2001 16:00:00,18.2
2/14/2001 16:00:00,18.18
2/15/2001 16:00:00,17.78
2/16/2001 16:00:00,18.09
2/20/2001 16:00:00,18.01
2/21/2001 16:00:00,17.94
2/22/2001 16:00:00,17.8
2/23/2001 16:00:00,17.59
2/26/2001 16:00:00,17.84
2/27/2001 16:00:00,17.72
2/28/2001 16:00:00,17.61
3/1/2001 16:00:00,17.69
3/2/2001 16:00:00,18.07
3/5/2001 16:00:00,18.47
3/6/2001 16:00:00,18.44
3/7/2001 16:00:00,18.95
3/8/2001 16:00:00,19.08
3/9/2001 16:00:00,19.03
3/12/2001 16:00:00,18.55
3/13/2001 16:00:00,18.15
3/14/2001 16:00:00,17.99
3/15/2001 16:00:00,17.73
3/16/2001 16:00:00,17.61
3/19/2001 16:00:00,17.83
3/20/2001 16:00:00,17.96
3/21/2001 16:00:00,17.6
3/22/2001 16:00:00,16.8
3/23/2001 16:00:00,17.1
3/26/2001 16:00:00,17.27
